HomeCornersAvg,AwayCornersAvg,HomeYellowAvg,AwayYellowAvg,CornersOver9_5,CardsOver4_5
24,6.0,4.0,79,0,1
28,5.75,5.04,86,1,1
28,4.8,5.36,96,1,1
23,5.38,4.09,71,0,0
26,4.72,6.58,68,0,0
34,6.4,4.68,84,1,1
24,5.29,5.21,67,0,0
24,4.61,4.29,65,0,0
33,5.29,5.85,67,1,0
24,5.48,4.67,52,0,0
29,3.46,6.07,68,1,0
33,3.17,3.79,69,1,0
34,7.0,3.15,75,1,0
25,7.48,4.2,84,1,1
28,6.25,5.71,71,1,0
27,5.15,5.52,71,1,0
23,5.61,3.65,86,0,1
27,5.48,5.48,70,1,0
24,3.46,4.33,68,0,0
24,5.29,4.5,67,0,0
24,4.93,5.46,70,0,0
34,5.08,5.21,88,1,1
28,4.81,5.18,85,1,1
27,5.38,4.85,71,1,0
35,5.44,6.26,76,1,1
22,3.03,4.32,68,0,0
28,3.89,5.18,81,1,1
27,5.59,3.52,93,1,1
25,4.97,5.92,77,0,1
24,5.27,4.63,77,0,1
35,4.64,6.63,82,1,1
27,4.34,4.52,83,1,1
26,3.67,4.88,48,0,0
24,5.71,4.67,79,0,1
35,5.94,5.09,71,1,0
24,4.08,5.04,79,0,1
28,6.34,5.93,83,1,1
35,4.89,5.03,75,1,1
26,5.48,4.96,71,1,0
24,4.52,4.79,81,0,1
24,4.93,3.46,68,0,0
24,4.41,4.33,74,0,0
28,4.52,5.29,70,1,0
34,5.42,5.82,88,1,1
24,4.52,6.17,81,0,1
25,5.13,7.0,74,0,1
28,5.36,5.04,56,1,0
25,4.09,6.0,59,0,0
29,4.81,5.52,74,1,1
35,5.6,6.26,86,1,1
35,4.04,4.51,79,1,1
24,6.17,5.21,71,0,0
26,5.48,6.85,70,1,0
32,4.31,4.72,77,1,1
28,4.29,4.96,58,1,0
24,5.75,5.04,86,0,1
28,5.31,4.54,80,1,1
27,5.77,4.48,64,1,0
27,4.42,4.48,76,1,1
34,4.25,4.76,71,1,0
22,4.81,4.64,85,0,1
27,4.07,3.89,48,0,0
27,5.36,4.3,80,1,1
34,4.71,5.26,63,1,0
35,4.62,6.63,79,1,1
24,3.79,6.0,86,0,1
28,4.17,3.71,63,1,0
25,4.16,3.76,76,0,1
28,5.44,3.96,94,1,1
27,6.86,6.07,89,1,1
24,3.87,3.67,70,0,0
27,4.82,5.48,79,1,1
26,5.38,4.23,77,1,1
26,5.45,4.88,67,1,0
27,5.67,5.33,86,1,1
24,5.74,4.13,81,0,1
23,4.37,4.52,63,0,0
24,5.21,3.46,73,0,0
21,4.54,4.43,65,0,0
27,5.77,5.26,64,1,0
24,3.7,6.04,70,0,0
29,4.16,4.48,76,1,1
27,4.21,4.48,61,0,0
35,3.42,6.26,88,1,1
27,4.27,4.33,62,0,0
34,4.04,4.53,59,1,0
27,5.14,5.33,86,1,1
28,5.82,4.43,89,1,1
24,4.46,2.92,77,0,1
